source_label,source_cluster,source_x,source_y,source_z,target_label,target_cluster,target_x,target_y,target_z,weight
Austin | Metro,0,0.7006355876251897,-0.16373738989864095,0.4583808255868916,Charlotte | Metro,0,0.09824641973617292,0.029957041176975195,-0.027990510990477578,0.7380188590415575
Austin | Metro,0,0.7006355876251897,-0.16373738989864095,0.4583808255868916,Denver | Metro,2,0.16088787946203867,-0.37619976425968277,0.6124624237374372,0.6452906392210291
Austin | Metro,0,0.7006355876251897,-0.16373738989864095,0.4583808255868916,Nashville | Metro,0,0.328958866093448,0.35083583471334145,0.2912772228297568,0.6708548363692274
Charlotte | Metro,0,0.09824641973617292,0.029957041176975195,-0.027990510990477578,Columbus | Metro,0,-0.0958959898276055,0.5190071132225924,0.5228247834528323,0.7941355411144756
Charlotte | Metro,0,0.09824641973617292,0.029957041176975195,-0.027990510990477578,Denver | Metro,2,0.16088787946203867,-0.37619976425968277,0.6124624237374372,0.6261111068784868
Charlotte | Metro,0,0.09824641973617292,0.029957041176975195,-0.027990510990477578,Indianapolis | Metro,0,0.1995019363171405,0.8101713650381744,0.28079602422990535,0.8471422935513813
Charlotte | Metro,0,0.09824641973617292,0.029957041176975195,-0.027990510990477578,Jacksonville | Metro,0,0.14347216013272696,0.17804869909939955,-0.566073108725203,0.742135732997039
Charlotte | Metro,0,0.09824641973617292,0.029957041176975195,-0.027990510990477578,Nashville | Metro,0,0.328958866093448,0.35083583471334145,0.2912772228297568,0.9134016354878313
Charlotte | Metro,0,0.09824641973617292,0.029957041176975195,-0.027990510990477578,Orlando | Metro,0,-0.030616798534766974,-0.24637806087486144,-0.8915213185182791,0.6314572908609523
Charlotte | Metro,0,0.09824641973617292,0.029957041176975195,-0.027990510990477578,Philadelphia | Metro,2,-0.5828069285074832,-0.41840411135728645,0.36576737774782264,0.35754976930333493
Charlotte | Metro,0,0.09824641973617292,0.029957041176975195,-0.027990510990477578,SanAntonio | Metro,0,0.5235123789153107,-0.046683966961229686,-0.9669076914153649,0.5000066005714463
Charlotte | Metro,0,0.09824641973617292,0.029957041176975195,-0.027990510990477578,SanFrancisco | Metro,2,-0.29422339849316037,-0.9358115525070604,0.9090421147083676,0.17930795258987567
Charlotte | Metro,0,0.09824641973617292,0.029957041176975195,-0.027990510990477578,Tampa | Metro,1,-0.4579604356350609,-0.05480317766256927,-0.8510915523251751,0.4733888034519212
Columbus | Metro,0,-0.0958959898276055,0.5190071132225924,0.5228247834528323,Indianapolis | Metro,0,0.1995019363171405,0.8101713650381744,0.28079602422990535,0.9314985401740931
Columbus | Metro,0,-0.0958959898276055,0.5190071132225924,0.5228247834528323,Louisville | Metro,0,0.28521942351796087,1.0,0.7407172346377041,0.7690663241962592
Columbus | Metro,0,-0.0958959898276055,0.5190071132225924,0.5228247834528323,Nashville | Metro,0,0.328958866093448,0.35083583471334145,0.2912772228297568,0.8652744737429763
Columbus | Metro,0,-0.0958959898276055,0.5190071132225924,0.5228247834528323,Philadelphia | Metro,2,-0.5828069285074832,-0.41840411135728645,0.36576737774782264,0.3295741747039423
Denver | Metro,2,0.16088787946203867,-0.37619976425968277,0.6124624237374372,Nashville | Metro,0,0.328958866093448,0.35083583471334145,0.2912772228297568,0.6016735227726518
Denver | Metro,2,0.16088787946203867,-0.37619976425968277,0.6124624237374372,Philadelphia | Metro,2,-0.5828069285074832,-0.41840411135728645,0.36576737774782264,0.3563588478855409
Denver | Metro,2,0.16088787946203867,-0.37619976425968277,0.6124624237374372,SanFrancisco | Metro,2,-0.29422339849316037,-0.9358115525070604,0.9090421147083676,0.42481239874178484
Indianapolis | Metro,0,0.1995019363171405,0.8101713650381744,0.28079602422990535,Louisville | Metro,0,0.28521942351796087,1.0,0.7407172346377041,0.7681132019826736
Indianapolis | Metro,0,0.1995019363171405,0.8101713650381744,0.28079602422990535,Nashville | Metro,0,0.328958866093448,0.35083583471334145,0.2912772228297568,0.9051752939462646
Jacksonville | Metro,0,0.14347216013272696,0.17804869909939955,-0.566073108725203,Nashville | Metro,0,0.328958866093448,0.35083583471334145,0.2912772228297568,0.8053822696300283
Jacksonville | Metro,0,0.14347216013272696,0.17804869909939955,-0.566073108725203,Orlando | Metro,0,-0.030616798534766974,-0.24637806087486144,-0.8915213185182791,0.7837226833892328
Jacksonville | Metro,0,0.14347216013272696,0.17804869909939955,-0.566073108725203,SanAntonio | Metro,0,0.5235123789153107,-0.046683966961229686,-0.9669076914153649,0.5671579653103745
Jacksonville | Metro,0,0.14347216013272696,0.17804869909939955,-0.566073108725203,Tampa | Metro,1,-0.4579604356350609,-0.05480317766256927,-0.8510915523251751,0.6854658815226035
Louisville | Metro,0,0.28521942351796087,1.0,0.7407172346377041,Nashville | Metro,0,0.328958866093448,0.35083583471334145,0.2912772228297568,0.7858799000518203
Miami | Metro,1,-0.9789311008019114,-0.6460020297291519,-0.8776838249562177,Orlando | Metro,0,-0.030616798534766974,-0.24637806087486144,-0.8915213185182791,0.26671824483975637
Miami | Metro,1,-0.9789311008019114,-0.6460020297291519,-0.8776838249562177,Philadelphia | Metro,2,-0.5828069285074832,-0.41840411135728645,0.36576737774782264,0.2042245483356312
Miami | Metro,1,-0.9789311008019114,-0.6460020297291519,-0.8776838249562177,Tampa | Metro,1,-0.4579604356350609,-0.05480317766256927,-0.8510915523251751,0.3781916842260544
Orlando | Metro,0,-0.030616798534766974,-0.24637806087486144,-0.8915213185182791,SanAntonio | Metro,0,0.5235123789153107,-0.046683966961229686,-0.9669076914153649,0.6402250048275558
Orlando | Metro,0,-0.030616798534766974,-0.24637806087486144,-0.8915213185182791,Tampa | Metro,1,-0.4579604356350609,-0.05480317766256927,-0.8510915523251751,0.616757565135345
Philadelphia | Metro,2,-0.5828069285074832,-0.41840411135728645,0.36576737774782264,SanFrancisco | Metro,2,-0.29422339849316037,-0.9358115525070604,0.9090421147083676,0.31561001125217064
