source_label,source_cluster,source_x,source_y,source_z,target_label,target_cluster,target_x,target_y,target_z,weight
Austin | Metro,0,0.5251145415958494,0.01710646323291362,0.19044005637910866,Charlotte | Metro,0,0.054232388807147876,0.05493715748784867,-0.018180590840376255,0.4473984973729992
Austin | Metro,0,0.5251145415958494,0.01710646323291362,0.19044005637910866,Denver | Metro,1,0.3265934708760464,-0.25053347858594316,0.2925392416877111,0.49817226936896364
Austin | Metro,0,0.5251145415958494,0.01710646323291362,0.19044005637910866,Indianapolis | Metro,0,0.2676545118829013,0.34141844040536135,0.13116624174357364,0.37701861782439655
Charlotte | Metro,0,0.054232388807147876,0.05493715748784867,-0.018180590840376255,Columbus | Metro,0,-0.0017700752286011567,0.46876539025993913,0.233314155705262,0.6028863043407882
Charlotte | Metro,0,0.054232388807147876,0.05493715748784867,-0.018180590840376255,Denver | Metro,1,0.3265934708760464,-0.25053347858594316,0.2925392416877111,0.4141160310848284
Charlotte | Metro,0,0.054232388807147876,0.05493715748784867,-0.018180590840376255,Indianapolis | Metro,0,0.2676545118829013,0.34141844040536135,0.13116624174357364,0.7363168652995975
Charlotte | Metro,0,0.054232388807147876,0.05493715748784867,-0.018180590840376255,Jacksonville | Metro,0,-0.340539851161416,0.15849368948835352,-0.0894358824699411,0.6679041265737284
Charlotte | Metro,0,0.054232388807147876,0.05493715748784867,-0.018180590840376255,Miami | Metro,2,-1.0,-0.24291004466596847,-0.8992603115972583,0.0170684940361057
Charlotte | Metro,0,0.054232388807147876,0.05493715748784867,-0.018180590840376255,Nashville | Metro,0,-0.022660418687579263,0.23936984848867837,0.12947975315705496,0.8181848024560877
Charlotte | Metro,0,0.054232388807147876,0.05493715748784867,-0.018180590840376255,Orlando | Metro,2,-0.3591925806869521,-0.04689274311426177,-0.4467495078103898,0.40722934680947015
Charlotte | Metro,0,0.054232388807147876,0.05493715748784867,-0.018180590840376255,Philadelphia | Metro,1,0.5668367786999627,-0.8340366156548913,0.18797938846242224,0.0957726273118849
Charlotte | Metro,0,0.054232388807147876,0.05493715748784867,-0.018180590840376255,SanAntonio | Metro,0,0.33155453637800003,0.423129315681193,-0.19836894525593757,0.45809220340157975
Charlotte | Metro,0,0.054232388807147876,0.05493715748784867,-0.018180590840376255,SanFrancisco | Metro,1,0.6160741326434234,-0.7458577602562991,0.6262890720630597,0.038835206633492575
Charlotte | Metro,0,0.054232388807147876,0.05493715748784867,-0.018180590840376255,Tampa | Metro,2,-0.610138354133715,-0.05168178281894998,-0.329787166164993,0.2574072618159607
Columbus | Metro,0,-0.0017700752286011567,0.46876539025993913,0.233314155705262,Indianapolis | Metro,0,0.2676545118829013,0.34141844040536135,0.13116624174357364,0.833427790657528
Columbus | Metro,0,-0.0017700752286011567,0.46876539025993913,0.233314155705262,Louisville | Metro,0,-0.3537590809850675,0.46869212005202604,0.19057449494070364,0.5720686891478455
Columbus | Metro,0,-0.0017700752286011567,0.46876539025993913,0.233314155705262,Nashville | Metro,0,-0.022660418687579263,0.23936984848867837,0.12947975315705496,0.7529227728909926
Denver | Metro,1,0.3265934708760464,-0.25053347858594316,0.2925392416877111,Nashville | Metro,0,-0.022660418687579263,0.23936984848867837,0.12947975315705496,0.371274098720623
Denver | Metro,1,0.3265934708760464,-0.25053347858594316,0.2925392416877111,Philadelphia | Metro,1,0.5668367786999627,-0.8340366156548913,0.18797938846242224,0.11178216718674022
Denver | Metro,1,0.3265934708760464,-0.25053347858594316,0.2925392416877111,SanFrancisco | Metro,1,0.6160741326434234,-0.7458577602562991,0.6262890720630597,0.21171053099280318
Indianapolis | Metro,0,0.2676545118829013,0.34141844040536135,0.13116624174357364,Nashville | Metro,0,-0.022660418687579263,0.23936984848867837,0.12947975315705496,0.749788055200907
Indianapolis | Metro,0,0.2676545118829013,0.34141844040536135,0.13116624174357364,SanAntonio | Metro,0,0.33155453637800003,0.423129315681193,-0.19836894525593757,0.41445998680332913
Jacksonville | Metro,0,-0.340539851161416,0.15849368948835352,-0.0894358824699411,Louisville | Metro,0,-0.3537590809850675,0.46869212005202604,0.19057449494070364,0.6117587276093569
Jacksonville | Metro,0,-0.340539851161416,0.15849368948835352,-0.0894358824699411,Nashville | Metro,0,-0.022660418687579263,0.23936984848867837,0.12947975315705496,0.7403105152221636
Jacksonville | Metro,0,-0.340539851161416,0.15849368948835352,-0.0894358824699411,Orlando | Metro,2,-0.3591925806869521,-0.04689274311426177,-0.4467495078103898,0.49265570321195307
Jacksonville | Metro,0,-0.340539851161416,0.15849368948835352,-0.0894358824699411,Tampa | Metro,2,-0.610138354133715,-0.05168178281894998,-0.329787166164993,0.46861429684165534
Louisville | Metro,0,-0.3537590809850675,0.46869212005202604,0.19057449494070364,Nashville | Metro,0,-0.022660418687579263,0.23936984848867837,0.12947975315705496,0.6468080460486287
Miami | Metro,2,-1.0,-0.24291004466596847,-0.8992603115972583,Orlando | Metro,2,-0.3591925806869521,-0.04689274311426177,-0.4467495078103898,0.091732010962264
